sub_id,sub_thai,subdistrict,dis_thai,district,pro_thai,province,lat,lng,name_id,amenity,amenity_cafe,amenity_clinic,amenity_fuel,amenity_hospital,amenity_place_of_worship,amenity_police,amenity_restaurant,amenity_school,amenity_shelter,amenity_toilets,historic,leisure,natural,office,publictransport,residential,shop,shop_convenience,tourism,tourism_attraction,tourism_guest_house,tourism_hotel,poi,size
101204,บางโพงพาง,,ยานนาวา,Yannawa,กรุงเทพมหานคร,Bangkok,13.697,100.544,Bangkok_54,20.47803546,1.419269784,0,0.202752826,0,0,0,2.838539568,0,0,0,0.405505653,5.677079137,63.46163463,3.244045221,9.123877184,0,6.285337615,0.811011305,0.202752826,0.202752826,0.405505653,0.202752826,567,4.932113738
101301,จักรวรรดิ,,สัมพันธวงศ์,Samphanthawong,กรุงเทพมหานคร,Bangkok,13.741,100.504,Bangkok_55,227.1304273,15.80037755,1.975047194,0,0,1.975047194,0,37.52589669,3.950094388,0,3.950094388,7.900188776,65.1765574,94.80226532,0,11.85028316,0,90.85217093,9.87523597,17.77542475,7.900188776,0,0,303,0.506317015
101302,สัมพันธวงศ์,,สัมพันธวงศ์,Samphanthawong,กรุงเทพมหานคร,Bangkok,13.739,100.511,Bangkok_56,377.4082038,18.06741401,0,0,0,6.022471338,0,118.4419363,2.007490446,0,2.007490446,8.029961784,58.21722293,224.8389299,78.29212739,18.06741401,0,238.8913631,20.07490446,170.6366879,14.05243312,0,16.05992357,683,0.498134376
101303,ตลาดน้อย,,สัมพันธวงศ์,Samphanthawong,กรุงเทพมหานคร,Bangkok,13.734,100.513,Bangkok_57,1301.50267,47.01245385,0,0,0,9.897358704,0,64.33283158,0,0,4.948679352,81.65320931,319.1898182,759.6222806,544.3547287,14.84603806,0,724.9815251,9.897358704,133.6143425,12.37169838,0,2.474339676,1629,0.40414823
101401,สามเสนใน,,พญาไท,Phaya Thai,กรุงเทพมหานคร,Bangkok,13.782,100.545,Bangkok_58,43.98142313,5.619248164,0.216124929,0.972562182,0.648374788,0,0.108062465,10.15787168,0.108062465,0,0.432249859,2.809624082,48.52004664,22.26086773,15.77711984,7.132122669,4.430561052,12.64330837,2.485436688,9.401434428,0.324187394,0.648374788,0.972562182,1755,9.253907015
101501,วัดกัลยาณ์,,ธนบุรี,Thon Buri,กรุงเทพมหานคร,Bangkok,13.737,100.493,Bangkok_59,90.21059673,1.387855334,0,0,0,2.775710669,1.387855334,5.551421337,0,1.387855334,1.387855334,5.551421337,13.87855334,58.28992404,5.551421337,8.327132006,0,16.65426401,1.387855334,1.387855334,1.387855334,0,0,156,0.720536194
101502,หิรัญรูจี,,ธนบุรี,Thon Buri,กรุงเทพมหานคร,Bangkok,13.731,100.49,Bangkok_60,104.5082102,1.536885444,0,0,0,0,0,9.221312662,0,0,0,1.536885444,1.536885444,27.66393799,0,6.147541775,0,1.536885444,0,0,0,0,0,100,0.650666583
101503,บางยี่เรือ,,ธนบุรี,Thon Buri,กรุงเทพมหานคร,Bangkok,13.72,100.482,Bangkok_61,39.92195741,0.973706278,0,0,0,0,0,1.947412557,0,0,0,0.973706278,19.47412557,6.815943948,0,14.60559417,0,11.68447534,7.789650227,1.947412557,0,0,2.921118835,112,1.027003751
101504,บุคคโล,,ธนบุรี,Thon Buri,กรุงเทพมหานคร,Bangkok,13.707,100.486,Bangkok_62,96.86571567,1.44575695,0,0,0,0,0,0,0,0,0,0,9.397420177,0,0.722878475,13.01181255,0,8.674541702,10.12029865,0,0,0,0,194,1.383358385
101505,ตลาดพลู,,ธนบุรี,Thon Buri,กรุงเทพมหานคร,Bangkok,13.715,100.473,Bangkok_63,32.75690453,1.770643488,0,0,1.770643488,0,0,1.770643488,0.885321744,0,0,0,3.541286976,2.655965232,0,24.78900883,0,1.770643488,3.541286976,0.885321744,0.885321744,0,0.885321744,88,1.129532858
